"NETWORK","PI","YEAR","MONTH","DAY","SITE","TRANSECT","START_LATITUDE","START_LONGITUDE","END_LATITUDE","END_LONGITUDE","START_DEPTH_M","END_DEPTH_M","TEMPERATURE_C","VISIBILITY_M"
"KEEN ONE","Byrnes",2014,7,8,"Baker North","1",42.53804,-70.78646,42.53811,-70.78683,8.2296,9.144,NA,4.5
"KEEN ONE","Byrnes",2014,7,8,"Baker North","2",42.53744,-70.78494,42.5377,-70.7851,7.3152,8.2296,NA,3
"KEEN ONE","Byrnes",2014,7,9,"Baker North","3",42.53696,-70.78384,42.53692,-70.78438,9.144,7.62,NA,5
"KEEN ONE","Byrnes",2014,7,9,"Baker North","4",42.53495,-70.78127,42.53529,-70.78143,9.144,7.3152,NA,4.5
"KEEN ONE","Byrnes",2014,7,11,"Baker South","1",42.53283,-70.78202,42.53286,-70.78159,7.62,6.09,NA,2.5
"KEEN ONE","Byrnes",2014,7,11,"Baker South","2",42.53167,-70.78329,42.5318,-70.78276,7.7,9.4488,NA,2.5
"KEEN ONE","Byrnes",2014,7,10,"Baker South","3",42.53066,-70.78569,42.53064,-70.78515,7.6,7.1,NA,4
"KEEN ONE","Byrnes",2014,7,10,"Baker South","4",42.53022,-70.78648,42.53032,-70.78623,7.7,6.1,NA,4.5
"KEEN ONE","Byrnes",2014,7,24,"Calf Island","1",42.34634,-70.8925,42.34597,-70.89251,7.4,8.3,14,1
"KEEN ONE","Byrnes",2014,7,24,"Calf Island","2",42.34416,-70.89385,42.34405,-70.89432,7.6,5.3,13,1
"KEEN ONE","Byrnes",2014,7,24,"Calf Island","3",42.34295,-70.89327,42.34296,-70.89375,8.5,8,13,1.5
"KEEN ONE","Byrnes",2014,7,25,"Calf Island","4",42.34053,-70.89362,42.34085,-70.89375,8.1,9.5,14,3
"KEEN ONE","Byrnes",2014,8,7,"Little Brewster","1",42.32692,-70.89121,42.32696,-70.8917,8.5,8.5344,13,2.5
"KEEN ONE","Byrnes",2014,8,8,"Little Brewster","2",42.327516,-70.88883,42.32747,-70.88844,6.4,8.9,15,2.5
"KEEN ONE","Byrnes",2014,8,8,"Little Brewster","3",42.32914,-70.88928,42.32936,-70.88927,7.1,7.2,15,2.5
"KEEN ONE","Byrnes",2014,8,7,"Little Brewster","4",42.3286,-70.88817,NA,NA,7.3,7.0104,13,2.5
"KEEN ONE","Byrnes",2014,7,21,"NE Appledore","Devil's Dancefloor",42.99306904,-70.613883985,42.99288473,-70.61373001,11.1,5,8,4
"KEEN ONE","Byrnes",2014,7,19,"NE Appledore","Broadway and 42nd",42.992762011,-70.611665966,42.993077002,-70.611877022,10.8,8.4,7,5
"KEEN ONE","Byrnes",2014,7,18,"NE Appledore","Norwegian Cove",42.990710959,-70.610730965,42.991084037,-70.610600039,9.8,10.1,9,4.5
"KEEN ONE","Byrnes",2014,7,18,"NE Appledore","Broad Cove",42.989987014,-70.611166991,42.989742011,-70.610920982,6,8.4,9,5
"KEEN ONE","Byrnes",2014,7,21,"NW Appledore","North Head",42.993015982,-70.615435978,42.992833005,-70.615848033,9.1,9.6,10,4
"KEEN ONE","Byrnes",2014,7,21,"NW Appledore","Magic 8 Ball",42.991409004,-70.617746031,42.991715027,-70.617419975,6.3,6.7,NA,2.5
"KEEN ONE","Byrnes",2014,7,18,"NW Appledore","Larus Ledge",42.991161989,-70.618240982,42.991544036,-70.618120031,11.4,4.4,12,3
"KEEN ONE","Byrnes",2014,7,18,"NW Appledore","Sandpiper Beach",42.99012,-70.617828,NA,NA,9.4,4.5,12.5,3
"KEEN ONE","Byrnes",2014,7,17,"SW Appledore","S. Smiths Cove",42.984478008,-70.618435023,42.984103002,-70.618429994,8.4,12.6,9,3
"KEEN ONE","Byrnes",2014,7,17,"SW Appledore","N. Smiths Cove",42.984961979,-70.618916983,42.984833987,-70.618681032,9.1,9.1,9,2.5
